Id,Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,resolution,Weight(kg),Price(dong)
127,Lenovo,Intel Core i5-1035G1,8 GB,2666 MHz,512,0,On board,0,14, 1920 x 1080,1.5,15990000
128,Dell,Intel Core i5-1035G1,4 GB,2666 MHz,512,0,On board,0,15.6, 1920 x 1080,2,15690000
129,Dell,Intel Core i5-8265U,4 GB,2666 MHz,0,1000,AMD Radeon 520,2,15.6, 1920 x 1080,2.28,15490000
130,Dell,Intel Core i5-1035G1,4 GB,2666 MHz,256,0,NVIDIA GeForce MX230,2,15.6, 1920 x 1080,2,15390000
131,Dell,Intel Core i5-1035G1,8 GB,2666 MHz,256,0,On board,0,15.6, 1920 x 1080,1.9,15290000
132,HP,Intel Core i5-1035G1,4 GB,2666 MHz,256,0,On board,0,14, 1920 x 1080,1.6,15290000
133,Acer,Intel Core i5-1035G1,8 GB,2400 MHz,512,0,NVIDIA GeForce MX330,2,15.6, 1920 x 1080,1.9,14990000
134,Dell,AMD Ryzen 5-3500U,8 GB,2400 MHz,512,0,On board,0,14, 1920 x 1080,1.79,14799000
135,HP,Intel Core i3-1005G1,4 GB,3200 MHz,512,0,On board,0,14, 1920 x 1080,1.65,14790000
136,Asus,AMD Ryzen 5-3500U,8 GB,2400 MHz,512,0,On board,0,14, 1920 x 1080,1.5,14690000
